rank	   KS	accession	description
3588	609	M60165_cds1_at	HLA-DQB1 gene extracted from Human guanine nucleotide-binding regulatory protein (Go-alpha) gene
3589	609	X60486_at	H4/g gene for H4 histone
3590	609	X91148_at	"MTP Microsomal triglyceride transfer protein (large polypeptide, 88kD)"
3591	609	U58331_at	Placental delta sarcoglycan mRNA
3592	609	U40490_at	NAD(P) transhydrogenase
3593	609	U90552_at	Butyrophilin (BTF5) mRNA
3594	609	X51755_cds5_s_at	"Ig light-chain, partial Ke-Oz- polypeptide; Author-given protein sequence is in conflict with the conceptual translation gene extracted from Human lambda-immunoglobulin constant region complex (germline)"
3595	609	K02545_cds2_at	TCRB gene extracted from Human T-cell receptor germline beta-chain J-beta-1 gene cluster: J-beta-1-1 and J-beta-1-2 genes; and D-beta-1-1 gene
3596	609	U79297_at	Clone 23589 mRNA sequence
3597	609	U51240_at	"KIAA0085 gene, partial cds"
3598	609	Y10511_at	GB DEF = CD176 protein
3599	609	S58733_at	Pp52
3600	609	X16666_s_at	HOXB1 Homeo box B1
3601	609	U91618_at	Proneurotensin/proneuromedin N mRNA
3602	609	X91117_rna1_at	HG NET gene exon 1
3603	609	U00944_at	Clone A9A2BRB6 (CAC)n/(GTG)n repeat-containing mRNA
3604	609	U81523_at	Endometrial bleeding associated factor mRNA
3605	609	L11238_s_at	GP5 Glycoprotein V (platelet)
3606	609	Z48605_at	GB DEF = Partial mRNA for pyrophosphatase
3607	609	HG3477-HT3670_at	Cd4 Antigen
3608	609	X07173_at	INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR
3609	609	U47334_at	"GB DEF = Gamma aminobutyric acid receptor beta4 subunit-like mRNA, partial cds"
3610	609	D87449_at	"KIAA0260 gene, partial cds"
3611	609	D82326_at	Amino acid transport-related protein mRNA
3612	609	M99063_at	"KERATIN, TYPE II CYTOSKELETAL 2 ORAL"
3613	609	D90042_at	"AAC2 Arylamine N-acetyltransferase, liver"
3614	609	X06661_at	CALB1 Calbindin (27-kD)
3615	609	D12485_at	Plasma cell membrane glycoprotein (PC-1) mRNA
3616	609	M74161_at	"75 KD INOSITOL-1,4,5-TRISPHOSPHATE 5-PHOSPHATASE PRECURSOR"
3617	609	X67594_at	MC1R Melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
3618	609	HG2662-HT2758_at	Homeotic Protein Emx1
3619	609	M17316_at	"GB DEF = Gamma-A-crystallin gene (gamma-G5), exon 3"
3620	609	U27831_at	"GB DEF = Striatum-enriched phosphatase (STEP) mRNA, partial cds"
3621	609	U39226_at	Myosin VIIA (USH1B) mRNA
3622	609	X14885_rna1_s_at	Transforming growth factor-beta 3 (TGF-beta 3) exon 1 (and joined CDS)
3623	609	HG3954-HT4224_s_at	Landsteiner-Wiener Blood Group Glycoprotein (Lw) (Gb:L27671)
3624	609	K02766_at	C9 Complement component C9
3625	609	D63877_at	"KIAA0241 gene, partial cds"
3626	609	M74047_at	SRD5A2 Steroid 5-alpha-reductase 2 (SRD5A2)
3627	609	L35592_at	Germline mRNA sequence
3628	609	AFFX-DapX-M_at	AFFX-DapX-M_at (endogenous control)
3629	609	U24683_at	"GB DEF = Anti-B cell autoantibody IgM heavy chain variable V-D-J region (VH4) gene, clone A23, VH4-55 non-productive rearrangement"
3630	609	D45132_at	Kidney mRNA for zinc-finger DNA-binding protein
3631	609	S67798_at	HYALURONIDASE PRECURSOR
3632	609	M76424_at	Carbonic anhydrase VII (CA VII) gene
3633	609	U66083_at	MAGE-9 antigen (MAGE9) gene
3634	609	L25119_at	"OPRM1 Opioid receptor, mu 1"
3635	609	M19301_at	DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease)
3636	609	M37245_at	"GB DEF = Ig superfamily cytotoxic T-lymphocyte-associated protein (CTLA-4) gene, last exon"
3637	609	U37055_rna1_s_at	Hepatocyte growth factor-like protein gene
3638	609	S81419_at	"GB DEF = Dystrophin, dystrophin {Purkinje promoter, alternatively spliced} [human, cortical brain and adult heart, mRNA Partial, 377 nt]"
3639	609	X61177_at	IL5RA Interleukin 5 receptor alpha
3640	609	U18543_at	Zinc-finger protein mRNA
3641	609	D87742_at	"KIAA0268 gene, partial cds"
3642	609	M98045_at	Folylpolyglutamate synthetase mRNA
3643	609	D87074_at	KIAA0237 gene
3644	609	U38864_at	Zinc-finger protein C2H2-150 mRNA
3645	609	HG2460-HT2556_at	Integrin Beta 1 (Gb:M34189)
3646	609	M16750_s_at	PIM1 Pim-1 oncogene
3647	609	U73167_cds4_at	H_LUCA14.3 gene extracted from Human cosmid LUCA14
3648	609	D16815_at	EAR-1r
3649	609	AFFX-HUMGAPDH/M33197_3_st	AFFX-HUMGAPDH/M33197_3_st (endogenous control)
3650	609	M15856_at	LPL Lipoprotein lipase
3651	609	S72869_at	H4(D10S170)
3652	609	D87432_at	KIAA0245 gene
3653	609	U09716_s_at	ERGIC-53 PROTEIN PRECURSOR
3654	609	U09860_at	"PRSS7 Protease, serine, 7 (enterokinase)"
3655	609	L35035_at	Ribose 5-phosphate isomerase (RPI) mRNA
3656	609	U86759_s_at	GB DEF = Netrin-2 like protein (NTN2l) mRNA
3657	609	HG3104-HT3280_at	Serine Protease Met1
3658	609	X87767_at	"GB DEF = CD89 gene, exon S1"
3659	609	U53476_at	Proto-oncogene Wnt7a mRNA
3660	609	M34455_at	"IDO Indole 2,3-dioxygenase"
3661	609	X89067_at	GB DEF = Trpc2 transcript (possible pseudogene)
3662	609	X54871_at	"RAB5B RAB5B, member RAS oncogene family"
3663	609	D64108_at	DMC1 homologue
3664	609	HG4165-HT4435_at	Hpc-1
3665	609	U55853_at	130 kD Golgi-localized phosphoprotein (GPP130) mRNA
3666	609	HG2602-HT2698_at	"Succinate Dehydrogenase, Flavoprotein Subunit"
3667	609	S74445_at	"Cellular retinoic acid-binding protein [human, skin, mRNA, 735 nt]"
3668	609	U00946_at	Clone A9A2BRB5 (CAC)n/(GTG)n repeat-containing mRNA
3669	609	D76435_at	Zic protein
3670	609	M28170_at	CD19 CD19 antigen
3671	609	V00532_rna1_f_at	IFNA gene (interferon alpha-i) extracted from Human gene for leukocyte (alpha) interferon C
3672	609	HG2367-HT2463_s_at	Trithorax Homolog Hrx
3673	609	L07949_at	GNRHR Gonadotropin-releasing hormone receptor
3674	609	U50062_at	"Cell death protein (RIP) mRNA, partial cds"
3675	609	U82313_at	"GB DEF = Unknown protein mRNA, partial cds"
3676	609	X51602_at	VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 1 PRECURSOR
3677	609	L76465_at	15-HYDROXYPROSTAGLANDIN DEHYDROGENASE
3678	609	U21051_rna1_at	G protein-coupled receptor (GPR4) gene
3679	609	D85131_s_at	Myc-associated zinc-finger protein of human islet
3680	609	X04707_at	GB DEF = C-erb-A mRNA for thyroid hormone receptor
3681	609	M16652_s_at	"ELA1 Elastase 1, pancreatic (elastase IIA)"
3682	609	D78011_at	Dihydropyrimidinase
3683	609	HG429-HT429_at	B-Cell Growth Factor 1
3684	609	L34409_at	GB DEF = (clone B3B3E13) chromosome 4p16.3 DNA fragment
3685	609	X98258_at	"M-phase phosphoprotein, mpp9"
3686	609	X12556_at	PROTO-ONCOGENE DBL PRECURSOR
3687	609	L32163_at	"Zinc finger protein mRNA, 3' end"
3688	609	X16901_at	"TRANSCRIPTION INITIATION FACTOR IIF, BETA SUBUNIT"
3689	609	L40157_at	P162 mRNA
3690	609	U63455_at	SUR Sulfonylurea receptor (hyperinsulinemia)
3691	609	U89012_at	Dentin matrix acidic phosphoprotein 1 (DMP1) mRNA
3692	609	U90716_at	Cell surface protein HCAR mRNA
3693	609	D12763_at	ST2 Suppression of tumorigenicity 2
3694	609	X14362_at	"CR1 Complement component (3b/4b) receptor 1, including Knops blood group system"
3695	609	J00148_cds2_f_at	"Growth hormone (somatotropin, GH1) gene"
3696	609	M55172_at	"AGC1 Aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)"
3697	609	M61733_at	"EPB41 Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)"
3698	609	L34673_at	"ATPase, DNA-binding protein (HIP116) mRNA, 3' end"
3699	609	D13705_s_at	Fatty acids omega-hydroxylase (cytochrome P-450HKV)
3700	609	Z49269_at	Chemokine HCC-1
3701	609	AF003743_at	"GB DEF = Delayed rectifier potassium channel (KVLQT1-Iso5) mRNA, 5' UTR and partial cds"
3702	609	X77166_at	"GB DEF = Kunitz-type protease inhibitor, HKIB9"
3703	609	AF005043_at	Poly(ADP-ribose) glycohydrolase (hPARG) mRNA
3704	609	D63879_at	KIAA0156 gene
3705	609	M94893_at	"TSPY Testis specific protein, Y-linked"
3706	609	U70136_at	"THPO Thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)"
3707	609	U60319_at	HLA-H MHC protein HLA-H (hereditary haemochromatosis)
3708	609	U24685_at	"GB DEF = Anti-B cell autoantibody IgM heavy chain variable V-D-J region (VH4) gene, clone E11, VH4-63 non-productive rearrangement"
3709	609	D82345_at	NB thymosin beta
3710	609	D87468_at	"KIAA0278 gene, partial cds"
3711	609	S81944_at	"GABRA6 Gamma-aminobutyric acid (GABA) A receptor, alpha 6"
3712	609	U58091_at	"GB DEF = Hs-cul-4B mRNA, partial cds"
3713	609	X06825_at	Skeletal beta-tropomyosin
3714	609	M76559_at	"Neuronal DHP-sensitive, voltage-dependent, calcium channel alpha-2b subunit mRNA"
3715	609	M68907_s_at	"GB DEF = Tachykinin-A (gamma-PPT-A) gene, partial cds"
3716	609	HG4011-HT4804_s_at	"Dystrophin-Associated Glycoprotein, 50 Kda, Alt. Splice 2"
3717	609	L76627_at	Metabotropic glutamate receptor 1 alpha (mGluR1alpha) mRNA
3718	609	U20350_at	CMKRL1 Chemokine receptor-like 1
3719	609	U07807_at	GB DEF = Metallothionein IV (MTIV) gene
3720	609	D29833_at	Salivary proline rich peptide P-B
3721	609	X99296_xpt1_at	RD from  H.sapiens RD gene (5' partial) and G11a gene (5' partial)./ntype=DNA /annot=exon
3722	609	D50370_at	Nucleosome assembly protein
3723	609	M26692_s_at	"GB DEF = Lymphocyte-specific protein tyrosine kinase (LCK) gene, exon 1, and downstream promoter region"
3724	609	D55638_at	"GB DEF = B-cell PABL (pseudoautosomal boundary-like sequence) mRNA, clone Bc4"
3725	609	U07139_at	CAB3b mRNA for calcium channel beta3 subunit
3726	609	U76456_at	Tissue inhibitor of metalloproteinase 4 mRNA
3727	609	X95240_s_at	Cysteine-rich secretory protein-3
3728	609	D00003_s_at	CYP3A3 Cytochrome P450 IIIA3 (nifedipine oxidase chain 3)
3729	609	HG3063-HT3224_at	"Major Histocompatibility Complex, Class I (Gb:L19693)"
3730	609	AFFX-BioDn-3_st	AFFX-BioDn-3_st (endogenous control)
3731	609	S83198_at	BPLP
3732	609	D88532_at	P55pik
3733	609	M30607_s_at	TDF Zinc finger protein Y-linked (ZFY)
3734	609	Z84721_cds1_at	"Zeta-globin 1 gene extracted from Human DNA sequence from cosmid GG1 from a contig from the tip of the short arm of chromosome 16, spanning 2Mb of 16p13.3 Contains alpha and zeta globin genes and ESTs"
3735	609	U15932_at	Protein tyrosine phosphatase mRNA
3736	609	U91521_at	Peroxin 12 (HsPEX12) mRNA
3737	609	U79115_s_at	Death adaptor molecule RAIDD (RAIDD) mRNA
3738	609	U41737_at	GB DEF = Pancreatic beta cell growth factor (INGAP) mRNA
3739	609	S66896_at	SCCA1 Squamous cell carcinoma antigen 1
3740	609	U09584_at	PL6 protein (PL6) mRNA
3741	609	D50924_at	KIAA0134 gene
3742	609	X59372_at	HOX4C mRNA for a homeobox protein
3743	609	D13814_s_at	AGTR1 Angiotensin receptor 1
3744	609	M74587_rna1_s_at	Insulin-like growth factor binding protein (hIGFBP1) gene
3745	609	U15131_at	HTS1
3746	609	X55989_rna1_at	ECRP gene for eosinophil cationic related protein
3747	609	U11863_at	ABP1 Amiloride binding protein 1 (amine oxidase (copper-containing))
3748	609	Y00062_at	"PTPRC Protein tyrosine phosphatase, receptor type, c polypeptide"
3749	609	M23234_s_at	PGY3 P glycoprotein 3/multiple drug resistance 3
3750	609	U08336_at	Basic helix-loop-helix transcription factor mRNA
3751	609	X86098_at	BS69 protein
3752	609	U52373_s_at	Serine/threonine protein kinase
3753	609	X77737_at	"Red cell anion exchanger (EPB3, AE1, Band 3) 3' non-coding region"
3754	609	Z28339_at	Delta 4-3-oxosteroid 5 beta-reductase
3755	609	L40992_at	"GB DEF = (clone PEBP2aA1) core-binding factor, runt domain, alpha subunit 1 (CBFA1) mRNA, 3' end of cds"
3756	609	Y07707_at	"RPLP0 Ribosomal protein, large, P0"
3757	609	X54936_at	"PGF Placental growth factor, vascular endothelial growth factor-related protein"
3758	609	M22324_at	"ANPEP Alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13)"
3759	609	D50532_at	Macrophage lectin 2
3760	609	X89101_s_at	"GB DEF = Fas (Apo-1, CD95)"
3761	609	M62424_at	F2R Coagulation factor II (thrombin) receptor
3762	609	U50928_at	PKD2 Autosomal dominant polycystic kidney disease type II
3763	609	U65918_f_at	Putative RNA binding protein (DAZH) mRNA
3764	609	M21812_at	"MYL2 Myosin, light polypeptide 2, regulatory, cardiac, slow"
3765	609	M33195_at	Fc-epsilon-receptor gamma-chain mRNA
3766	609	L06147_at	(clone SY11) golgin-95 mRNA
3767	609	M16973_at	"C8B Complement component 8, beta polypeptide"
3768	609	U87223_at	Contactin associated protein (Caspr) mRNA
3769	609	HG3125-HT3301_s_at	Estrogen Receptor (Gb:S67777)
3770	609	U46744_at	Dystrobrevin-alpha mRNA
3771	609	D90097_at	ALPHA-AMYLASE 2B PRECURSOR
3772	609	M64934_at	XK Kell blood group precursor (McLeod phenotype)
3773	609	X78933_at	ZNF10 Zinc finger protein 10 (KOX 1)
3774	609	X95289_at	HCGIX protein
3775	609	U28131_at	"GB DEF = HMGI-C chimeric transcript mRNA, partial cds"
3776	609	M24349_s_at	"GB DEF = Parathyroid hormone-like protein (PLP) gene, exon 4, clones lambda-PLPg(1,3,7-2)"
3777	609	M94172_s_at	N-type calcium channel alpha-1 subunit mRNA
3778	609	Z11695_at	"RPLP1 Ribosomal protein, large, P1"
3779	609	U73191_at	Inward rectifier potassium channel (Kir1.3)
3780	609	L20965_at	Phosphodiesterase mRNA
3781	609	Z46967_at	GB DEF = Calicin (partial)
3782	609	M14158_cds4_at	T-cell receptor beta-chain J1.3 gene extracted from Human T-cell receptor germline beta-chain D1.1 and J1.1 to J1.6 genes
3783	609	U50535_at	"BRCA2 region, mRNA sequence CG005"
3784	609	Z49989_at	Smoothelin
3785	609	X77753_at	"M1S1 Membrane component, chromosome 1, surface marker 1 (40kD glycoprotein, identified by monoclonal antibody GA733)"
3786	609	U79247_at	Clone 23599 mRNA sequence
3787	609	S59184_at	RYK RYK receptor-like tyrosine kinase
3788	609	M32879_at	CYP11B1 Cytochrome P450 11 beta
3789	609	M73047_at	TPP2 Tripeptidyl peptidase II
3790	609	M11591_at	GB DEF = MHC class II HLA-SX-alpha gene
3791	609	M13934_cds1_at	RPS14 gene (unknown protein) extracted from Human ribosomal protein S14 gene
3792	609	Z86000_at	"GB DEF = DNA sequence from PAC 151B14 on chromosome 22q12-qter contains somatostatin receptor subtype 3 (SSTR3), tRNA, ESTs, CpG island and STS"
3793	609	M83941_at	GB DEF = Receptor tyrosine kinase (HEK) mRNA
3794	609	M17183_s_at	GB DEF = Parathyroid hormone-related protein mRNA
3795	609	HG3132-HT3308_at	"Cea Family, Bi-Like Domain"
3796	609	L16782_at	"Putative M phase phosphoprotein 1 (MPP1) mRNA, partial cds"
3797	609	U78735_at	ABC3 ATP-binding cassette 3
3798	609	M14758_at	MULTIDRUG RESISTANCE PROTEIN 1
3799	609	D00632_at	GPX3 Glutathione peroxidase 3 (plasma)
3800	609	X97230_f_at	"GB DEF = NK receptor, clone library 4M1#6"
3801	609	X51408_at	"CHN Chimerin, n-"
3802	609	U95740_rna2_at	362G6.2 gene extracted from Human chromosome 16p13.1 BAC clone CIT987SK-362G6 complete sequence
3803	609	L04731_at	Translocation T(4:11) of ALL-1 gene to chromosome 4
3804	609	HG4109-HT4379_at	Olfactory Receptor Or17-30
3805	609	U25128_at	PTH2 parathyroid hormone receptor mRNA
3806	609	D15049_at	PTPRH Protein tyrosine phosphatase
3807	609	S77415_at	"Melanocortin-4 receptor [human, Genomic, 1671 nt]"
3808	609	U34301_at	"GB DEF = Nonmuscle myosin heavy chain IIB gene, promoter region and exon 1"
3809	609	HG3565-HT3768_at	Zinc Finger Protein (Gb:M88357)
3810	609	U90912_at	Clone 23865 mRNA sequence
3811	609	AB000897_at	"GB DEF = Cadherin FIB3, partial cds"
3812	609	U48861_at	"CHRNB4 Cholinergic receptor, nicotinic, beta polypeptide 4"
3813	609	AB000896_at	"GB DEF = Cadherin FIB2, partial cds"
3814	609	X16706_at	FOS-RELATED ANTIGEN 2
3815	609	X16707_at	FOS-RELATED ANTIGEN 1
3816	609	U09550_at	Oviductal glycoprotein mRNA
3817	609	Z18948_at	S100A3 S100 calcium-binding protein A3 (formerly S100E)
3818	609	X06745_at	DNA polymerase alpha-subunit
3819	609	M73746_s_at	LHCGR Luteinizing hormone/choriogonadotropin receptor
3820	609	X56807_at	DESMOCOLLIN 2A/BB PRECURSOR
3821	609	Z46632_r_at	"PDE4C Phosphodiesterase 4C, cAMP-specific (dunce (Drosophila)-homolog phosphodiesterase E1)"
3822	609	U33921_at	GB DEF = Clone L1-204 mRNA sequence
3823	609	S79781_at	"GB DEF = WT1 {antisense promoter, intron 1} [human, kidney, Genomic, 780 nt]"
3824	609	HG2730-HT2827_s_at	"Fibrinogen, A Alpha Polypeptide, Alt. Splice 2, E"
3825	609	X82850_s_at	"TTF1 Transcription termination factor, RNA polymerase I"
3826	609	X98337_s_at	GB DEF = Complement factor H-related protein 4
3827	609	S75881_s_at	A-myb
3828	609	U83171_at	Macrophage-derived chemokine precursor (MDC) mRNA
3829	609	D10202_at	PTAFR Platelet activating factor receptor
3830	609	M21305_at	GB DEF = Alpha satellite and satellite 3 junction DNA sequence
3831	609	U34976_at	Gamma-sarcoglycan mRNA
3832	609	M16336_s_at	"CD2 CD2 antigen (p50), sheep red blood cell receptor"
3833	609	X56088_s_at	CYP7 Cytochrome P450 VII (cholesterol 7 alpha-monooxygenase)
3834	609	HG3989-HT4259_at	"Cpg-Enriched Dna, Clone E14"
3835	609	X82200_at	Staf50 mRNA
3836	609	HG1728-HT1734_at	"Non-Specific Cross Reacting Antigen (Gb:D90277), Alt. Splice Form 2"
3837	609	D13631_s_at	KIAA0006 gene
3838	609	X91249_at	WHITE PROTEIN HOMOLOG
3839	609	S83308_at	SOX5
3840	609	U53442_at	P38Beta MAP kinase mRNA
3841	609	U66559_at	"NPM1 Nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
3842	609	U79265_at	Clone 23614 mRNA sequence
3843	609	Z78290_at	GB DEF = mRNA (clone 1D7)
3844	609	HG4126-HT4396_at	Zinc Finger Protein Hzf4
3845	609	X66365_at	CDK6 Cyclin-dependent kinase 6
3846	609	U09303_at	Placenta LERK-2 (EPLG2) mRNA
3847	609	X04602_s_at	IL6 Interleukin 6 (B cell stimulatory factor 2)
3848	609	J00210_rna1_at	IFNA gene (interferon alpha-d) extracted from Human leukocyte interferon (IFN-alpha) alpha-d gene
3849	609	L00137_cds1_at	"GHRF gene (growth hormone releasing factor) extracted from Human growth hormone-releasing factor (GRF) gene, exon 1 ("
3850	609	X68285_s_at	GK Glycerol kinase
3851	609	M35999_at	"ITGB3 Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
3852	609	U88047_at	"DNA binding protein homolog (DRIL) mRNA, partial cds"
3853	609	X68742_at	"GB DEF = Integrin, alpha subunit"
3854	609	M57423_f_at	RIBOSE-PHOSPHATE PYROPHOSPHOKINASE III
3855	609	M62982_at	ALOX12 Arachidonate 12-lipoxygenase
3856	609	U66702_at	Phogrin mRNA
3857	609	X98206_at	"GB DEF = UV-B repressed sequence, HUR 8"
3858	609	X52479_at	"PRKCA Protein kinase C, alpha"
3859	609	X97303_at	GB DEF = Ptg-12 protein
3860	609	Y10202_at	GB DEF = CD207 protein
3861	609	U28281_at	SCTR Secretin receptor
3862	609	U03399_at	T-complex protein 10A (TCP10A) mRNA
3863	609	M35198_at	GB DEF = Integrin B-6 mRNA
3864	609	X95190_at	Branched chain Acyl-CoA Oxidase
3865	609	D25304_at	"KIAA0006 gene, partial cds"
3866	609	X82629_at	Mox-2
3867	609	X03072_at	GB DEF = Int-1 mammary oncogene
3868	609	M29335_at	"GB DEF = MHC class II DO-alpha mRNA, partial cds"
3869	609	M86849_at	Connexin 26 (GJB2) mRNA
3870	609	M30894_at	TCRG T cell receptor gamma chain
3871	609	S75989_at	"GB DEF = Gamma-aminobutyric acid transporter type 3 [human, fetal brain, mRNA, 1991 nt]"
3872	609	HG2261-HT2352_at	"Antigen, Prostate Specific, Alt. Splice Form 3"
3873	609	U15460_at	BZip protein B-ATF mRNA
3874	609	L11695_at	SERINE/THREONINE-PROTEIN KINASE RECEPTOR R4 PRECURSOR
3875	609	M96684_at	Pur (pur-alpha) mRNA
3876	609	U60665_at	Testis specific basic protein (TSBP)
3877	609	U65533_s_at	KIAA0221 gene
3878	609	X89984_at	BCL7 B cell lymphoma protein 7A
3879	609	Y10375_s_at	SHPS-1
3880	609	M31682_at	"INHBB Inhibin, beta B (activin AB beta polypeptide)"
3881	609	X72925_at	DSC1 Desmocollin 1 {alternative products}
3882	609	X78578_at	"PPP1R3 Protein phosphatase 1, regulatory (inhibitor) subunit 3 (glycogen and sarcoplasmic reticulum binding subunit, skeletal muscle)"
3883	609	X52426_s_at	KRT13 Keratin 13
3884	609	L02648_at	TCN2 Transcobalamin II
3885	609	M90391_s_at	"Putative IL-16 protein precursor, mRNA"
3886	609	U79282_at	Clone 23801 mRNA sequence
3887	609	U14407_at	IL15 Interleukin 15
3888	609	L47738_at	Inducible protein mRNA
3889	609	X14346_at	EOSINOPHIL PEROXIDASE PRECURSOR
3890	609	U37359_at	MRE11 Homolog of yeast MRE11
3891	609	S52028_s_at	CTH Cystathionase (cystathionine gamma-lyase)
3892	609	U39573_at	Salivary peroxidase mRNA
3893	609	M21064_at	S100A9 S100 calcium-binding protein A9 (calgranulin B)
3894	609	HG4582-HT4987_at	"Glucocorticoid Receptor, Beta"
3895	609	X64559_at	TNA Tetranectin (plasminogen-binding protein)
3896	609	HG961-HT961_at	Guanine Nucleotide Exchange Factor 2
3897	609	J04102_at	ETS2 V-ets avian erythroblastosis virus E26 oncogene homolog 2
3898	609	M93415_at	"ACVR2 Activin A receptor, type II"
3899	609	L19297_at	CA5 Mitochondrial carbonic anhydrase
3900	609	X97302_at	GB DEF = Ptg-1 protein
3901	609	U40343_at	CDK inhibitor p19INK4d mRNA
3902	609	S77583_at	"GB DEF = HERVK10/HUMMTV reverse transcriptase homolog {clone RT244} [human, multiple sclerosis, brain plaques, mRNA Partial, 90 nt]"
3903	609	AFFX-HUMGAPDH/M33197_5_st	AFFX-HUMGAPDH/M33197_5_st (endogenous control)
3904	609	M21642_s_at	ANTITHROMBIN-III PRECURSOR
3905	609	U66033_at	Glypican-5 (GPC5) mRNA
3906	609	U64198_at	Il-12 receptor beta2 mRNA
3907	609	HG4027-HT4297_f_at	"Beta-1-Glycoprotein, Domains N And Iia, Pregnancy-Specific"
3908	609	U83598_at	"Death domain receptor 3 soluble form (DDR3) mRNA, partial cds"
3909	609	Z23091_rna1_at	GPV gene encoding platelet glycoprotein V precursor
3910	609	U18235_at	"GB DEF = ATP-binding cassette protein (ABC2) mRNA HFBCD04 clone, partial cds"
3911	609	L12760_s_at	"PHOSPHOENOLPYRUVATE CARBOXYKINASE, CYTOSOLIC"
3912	609	U32645_at	Myeloid elf-1 like factor (MEF) mRNA
3913	609	U63295_at	Seven in absentia homolog mRNA
3914	609	L40388_at	"GB DEF = Thyroid receptor interactor (TRIP15) mRNA, 5' end of cds"
3915	609	Z34822_f_at	GB DEF = (HLCC85) mRNA for voltage-dependent L-type Ca channel alpha 1 subunit (splice variant)
3916	609	U77735_at	Pim-2 protooncogene homolog pim-2h mRNA
3917	609	M95925_at	Leucine zipper on the D14S46E locus mRNA
3918	609	L41268_f_at	Nkat2b mRNA
3919	609	U17989_at	Nuclear autoantigen GS2NA mRNA
3920	609	M54914_s_at	FOLLITROPIN BETA CHAIN PRECURSOR
3921	609	Z48579_at	Disintegrin-metalloprotease (partial)
3922	609	U47686_s_at	Signal transducer and activator of transcription Stat5B mRNA
3923	609	U32499_s_at	GB DEF = D3 dopamine receptor mRNA
3924	609	M34715_at	PSG11 Pregnancy-specific beta-1 glycoprotein 11
3925	609	M16707_rna1_s_at	"Histone H4 gene, clone FO108"
3926	609	M18079_at	"FATTY ACID-BINDING PROTEIN, INTESTINAL"
3927	609	HG4245-HT4515_at	Forkhead Family Afx1
3928	609	U52700_at	"GB DEF = Tenascin-X (XB) mRNA, RACE clone N1, partial cds"
3929	609	M29610_at	GYPE Glycophorin E
3930	609	D56495_at	Reg-related sequence derived peptide-1
3931	609	Y10515_at	GB DEF = CD58 T7 protein
3932	609	M64595_at	RAC2 Ras-related C3 botulinum toxin substrate 2
3933	609	X06389_at	SYP Synaptophysin
3934	609	U40317_s_at	Protein tyrosine phosphatase PTPsigma (PTPsigma) mRNA
3935	609	U73799_at	"GB DEF = Dynactin mRNA, partial cds"
3936	609	L10381_at	GB DEF = 2-5A-dependent RNase gene
3937	609	U79280_at	"Clone 23575 mRNA, partial cds"
3938	609	X81333_at	PPH beta subunit protein
3939	609	X51441_s_at	SERUM AMYLOID A PROTEIN PRECURSOR
3940	609	M31158_at	"PRKAR2B Protein kinase, cAMP-dependent, regulatory, type II, beta"
3941	609	L07540_at	ACTIVATOR 1 36 KD SUBUNIT
3942	609	V00536_rna1_at	IFNG gene extracted from Human immune interferon (IFN-gamma) gene
3943	609	U55054_at	K-Cl cotransporter (hKCC1) mRNA
3944	609	D83017_s_at	Nel-related protein
3945	609	U77180_at	EBI1-ligand chemokine
3946	609	D10923_at	PROBABLE G PROTEIN-COUPLED RECEPTOR HM74
3947	609	S78723_rna2_at	"5-HT2AR=serotonin 5-HT2A receptor {promoter} [human, Genomic, 1678 nt]"
3948	609	AC002045_xpt1_at	"A-589H1.1 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence, complete sequence./ntype=DNA /annot=mRNA"
3949	609	M11973_cds1_at	Gamma-B-crystallin gene (gamma 1-2)
3950	609	X51441_at	SERUM AMYLOID A PROTEIN PRECURSOR
3951	609	M34065_at	CDC25C Cell division cycle 25C
3952	609	J04101_at	GB DEF = Erythroblastosis virus oncogene homolog 1 (ets-1) mRNA
3953	609	S77582_at	"GB DEF = HERVK10/HUMMTV reverse transcriptase homolog {clone RT240} [human, multiple sclerosis, brain plaques, mRNA Partial, 89 nt]"
3954	609	U18271_cds1_at	Thymopoietin (TMPO) gene
3955	609	D31889_at	"KIAA0072 gene, partial cds"
3956	609	X72304_at	CORTICOTROPIN RELEASING FACTOR RECEPTOR 1 PRECURSOR
3957	609	X07290_at	ZINC FINGER PROTEIN HF.12
3958	609	M24248_at	"MYL3 Myosin, light polypeptide 3, alkali; ventricular, skeletal, slow"
3959	609	D87433_at	"KIAA0246 gene, partial cds"
3960	609	U26914_at	Ras-responsive element binding protein (RREB-1) mRNA
3961	609	X76342_at	ADH7 Alcohol dehydrogenase 7 sigma subunit (class IV)
